intan,xcoord,ycoord,sh
0,14.28,464.28,0
1,0,450,0
2,14.28,314.28,0
3,0,300,0
4,0,0,0
5,14.28,14.28,0
6,0,150,0
7,14.28,164.28,0
8,0,328.56,0
9,-14.28,314.28,0
10,0,478.56,0
11,-14.28,464.28,0
12,-14.28,164.28,0
13,0,178.56,0
14,-14.28,14.28,0
15,0,28.56,0
16,0,628.56,0
17,-14.28,614.28,0
18,0,778.56,0
19,-14.28,764.28,0
20,-14.28,1064.28,0
21,0,1078.56,0
22,-14.28,914.28,0
23,0,928.56,0
24,14.28,764.28,0
25,0,750,0
26,14.28,614.28,0
27,0,600,0
28,0,900,0
29,14.28,914.28,0
30,0,1050,0
31,14.28,1064.28,0